# name, smd?, value, package, component, x, y, angle
PADL1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 5.82, 71.88, 160.00
PADNF3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNF4, SMD, , SMD1.27-2.54, -smd1.27-2.54, 38.73, 65.68, 90.00
PADNF5, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNF6, SMD, , SMD1.27-2.54, -smd1.27-2.54, 38.73, 19.96, 90.00
PADNF7, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNF8, SMD, , SMD1.27-2.54, -smd1.27-2.54, 62.61, 65.68, 90.00
PADNF9, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNF10, SMD, , SMD1.27-2.54, -smd1.27-2.54, 62.61, 19.96, 90.00
PADNF11, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNF12, SMD, , SMD1.27-2.54, -smd1.27-2.54, 86.49, 65.68, 90.00
PADNF13, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADNF14, SMD, , SMD1.27-2.54, -smd1.27-2.54, 86.49, 19.96, 90.00
PADNF15, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADSF, SMD, , SMD1.27-2.54, -smd1.27-2.54, 8.71, 65.71, 90.00
PADSF1, SMD, , SMD1.27-2.54, -smd1.27-2.54, 8.71, 19.99, 90.00
PADSF2, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADSF3, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADSF4, SMD, , SMD1.27-2.54, -smd1.27-2.54, 32.59, 65.71, 90.00
PADSF5, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADSF6, SMD, , SMD1.27-2.54, -smd1.27-2.54, 32.59, 19.99, 90.00
PADSF7, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADSF8, SMD, , SMD1.27-2.54, -smd1.27-2.54, 56.46, 65.71, 90.00
PADSF9, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADSF10, SMD, , SMD1.27-2.54, -smd1.27-2.54, 56.46, 19.99, 90.00
PADSF11, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADSF12, SMD, , SMD1.27-2.54, -smd1.27-2.54, 80.34, 65.71, 90.00
PADSF13, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
PADSF14, SMD, , SMD1.27-2.54, -smd1.27-2.54, 80.34, 19.99, 90.00
PADSF15, PTH, , SMD1.27-2.54, -smd1.27-2.54, 0.00, 0.00, 270.00
R1, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 0.00
R2, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 0.00
R3, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 0.00
R4, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 0.00
R5, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 0.00
R6, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 0.00
R7, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 0.00
R8, PTH, 1k0, 0204/5, 1k0-0204/5, 0.00, 0.00, 0.00
