# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
C1X11, SMD, 0.01uF, 0603-CAP, 0.01uf-0603-cap, 55.88, 20.32, 0.00, 0.00
R1X11, SMD, 10k, 0805-RES, 10k-0805-res, 66.04, 26.67, 270.00, 90.00
R1X12, SMD, 10k, 0805-RES, 10k-0805-res, 66.04, 46.99, 270.00, 90.00
R1X13, SMD, 10k, 0805-RES, 10k-0805-res, 66.04, 67.31, 270.00, 90.00
R1X14, SMD, 10k, 0805-RES, 10k-0805-res, 66.04, 87.63, 270.00, 90.00
R2X11, SMD, 10k, 0805-RES, 10k-0805-res, 68.58, 26.67, 270.00, 90.00
R2X12, SMD, 10k, 0805-RES, 10k-0805-res, 68.58, 46.99, 270.00, 90.00
R2X13, SMD, 10k, 0805-RES, 10k-0805-res, 68.58, 67.31, 270.00, 90.00
R2X14, SMD, 10k, 0805-RES, 10k-0805-res, 68.58, 87.63, 270.00, 90.00
R3X11, SMD, 10k, 0805-RES, 10k-0805-res, 73.66, 26.67, 270.00, 90.00
R3X12, SMD, 10k, 0805-RES, 10k-0805-res, 73.66, 46.99, 270.00, 90.00
R3X13, SMD, 10k, 0805-RES, 10k-0805-res, 73.66, 67.31, 270.00, 90.00
R3X14, SMD, 10k, 0805-RES, 10k-0805-res, 73.66, 87.63, 270.00, 90.00
R4X11, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 12.70, 0.00, 0.00
R4X12, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 33.02, 0.00, 0.00
R4X13, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 53.34, 0.00, 0.00
R4X14, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 73.66, 0.00, 0.00
R5X11, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 20.32, 180.00, -180.00
R5X12, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 40.64, 180.00, -180.00
R5X13, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 60.96, 180.00, -180.00
R5X14, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 81.28, 180.00, -180.00
R6X11, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 20.32, 180.00, -180.00
R6X12, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 40.64, 180.00, -180.00
R6X13, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 60.96, 180.00, -180.00
R6X14, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 81.28, 180.00, -180.00
R7X11, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 25.40, 180.00, -180.00
R7X12, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 45.72, 180.00, -180.00
R7X13, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 66.04, 180.00, -180.00
R7X14, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 86.36, 180.00, -180.00
R8X11, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 15.24, 180.00, -180.00
R8X12, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 35.56, 180.00, -180.00
R8X13, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 55.88, 180.00, -180.00
R8X14, SMD, 1K0, 0603-RES, 1k0-0603-res, 60.96, 76.20, 180.00, -180.00
R9X11, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 15.24, 180.00, -180.00
R9X12, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 35.56, 180.00, -180.00
R9X13, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 55.88, 180.00, -180.00
R9X14, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 76.20, 180.00, -180.00
R10X11, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 25.40, 180.00, -180.00
R10X12, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 45.72, 180.00, -180.00
R10X13, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 66.04, 180.00, -180.00
R10X14, SMD, 82R, 0805-RES, 82r-0805-res, 46.99, 86.36, 180.00, -180.00
