# name, smd?, value, package, component, x, y, angle
CON1X11, PTH, , 1X06_LOCK, -1x06_lock, 0.00, 0.00, 180.00
Q0X41, SMD, , SOT23, -sot23, 86.36, 32.38, 180.00
Q1X11, SMD, , SOT23, -sot23, 21.59, 32.38, 180.00
Q1X21, SMD, , SOT23, -sot23, 41.91, 32.38, 180.00
Q1X31, SMD, , SOT23, -sot23, 62.23, 32.38, 180.00
Q1X41, SMD, , SOT23, -sot23, 82.55, 32.38, 180.00
Q2X11, SMD, , SOT23, -sot23, 17.78, 32.38, 180.00
Q2X21, SMD, , SOT23, -sot23, 38.10, 32.38, 180.00
Q2X31, SMD, , SOT23, -sot23, 58.42, 32.38, 180.00
Q2X41, SMD, , SOT23, -sot23, 78.74, 32.38, 180.00
Q3X11, SMD, , SOT23, -sot23, 13.97, 32.38, 180.00
Q3X21, SMD, , SOT23, -sot23, 34.29, 32.38, 180.00
Q3X31, SMD, , SOT23, -sot23, 54.61, 32.38, 180.00
Q3X41, SMD, , SOT23, -sot23, 74.93, 32.38, 180.00
R1X11, SMD, , 0805-RES, -0805-res, 23.50, 29.85, 90.00
R1X21, SMD, , 0805-RES, -0805-res, 43.82, 29.85, 90.00
R1X31, SMD, , 0805-RES, -0805-res, 64.14, 29.85, 90.00
R1X41, SMD, , 0805-RES, -0805-res, 84.45, 29.85, 90.00
R2X11, SMD, , 0805-RES, -0805-res, 19.69, 29.85, 90.00
R2X21, SMD, , 0805-RES, -0805-res, 40.01, 29.85, 90.00
R2X31, SMD, , 0805-RES, -0805-res, 60.33, 29.85, 90.00
R2X41, SMD, , 0805-RES, -0805-res, 80.65, 29.85, 90.00
R3X11, SMD, , 0805-RES, -0805-res, 15.88, 29.85, 90.00
R3X21, SMD, , 0805-RES, -0805-res, 36.20, 29.85, 90.00
R3X31, SMD, , 0805-RES, -0805-res, 56.52, 29.85, 90.00
R3X41, SMD, , 0805-RES, -0805-res, 76.84, 29.85, 90.00
R4X11, SMD, , 0805-RES, -0805-res, 12.07, 29.85, 90.00
R4X21, SMD, , 0805-RES, -0805-res, 32.38, 29.85, 90.00
R4X31, SMD, , 0805-RES, -0805-res, 52.71, 29.85, 90.00
R4X41, SMD, , 0805-RES, -0805-res, 73.03, 29.85, 90.00
R9X11, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R9X21, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R9X31, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R9X41, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R10X11, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R10X21, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R10X31, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R10X41, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R11X11, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R11X21, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R11X31, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R11X41, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R12X11, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R12X21, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R12X31, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
R12X41, PTH, , AXIAL-0.4-RES, -axial-0.4-res, 0.00, 0.00, 90.00
VINX1, PTH, , BOARD-DINRAIL-3.17IN-4X-IOB, -board-dinrail-3.17in-4x-iob, 0.00, 0.00, 0.00
