# name, smd?, value, package, component, x, y, angle
C1, SMD, 0.01uf, 0805, 0.01uf-0805, 80.77, 51.82, 0.00
LED4, SMD, Green, CHIP-LED0805, green-chip-led0805, 67.31, 77.22, 270.00
LED5, SMD, DCC, CHIP-LED0805, dcc-chip-led0805, 3.05, 75.95, 270.00
LED6, SMD, Loconet, CHIP-LED0805, loconet-chip-led0805, 95.76, 76.71, 90.00
Q1, SMD, PMBT2222, SOT23-3, pmbt2222-sot23-3, 67.51, 59.94, 90.00
R1, SMD, 4k7, R0805, 4k7-r0805, 73.91, 56.64, 180.00
R2, SMD, 18R, R0805, 18r-r0805, 73.91, 61.98, 0.00
R3, SMD, 27k, R0805, 27k-r0805, 80.77, 69.09, 0.00
R4, SMD, 39k, R0805, 39k-r0805, 80.77, 66.29, 180.00
R5, SMD, 47k, R0805, 47k-r0805, 80.77, 57.91, 0.00
R6, SMD, 150k, R0805, 150k-r0805, 80.77, 55.12, 180.00
R7, SMD, 240k, R0805, 240k-r0805, 80.77, 60.71, 0.00
R8, SMD, 1k, R0805, 1k-r0805, 80.77, 63.50, 0.00
R9, SMD, 1k, R0805, 1k-r0805, 96.01, 72.90, 0.00
R10, SMD, 82R, R0805, 82r-r0805, 73.91, 54.10, 0.00
R11, SMD, 100k, R0805, 100k-r0805, 54.65, 25.69, 90.00
R12, SMD, 10K, R0805, 10k-r0805, 5.33, 44.20, 0.00
R13, SMD, 10k, R0805, 10k-r0805, 51.82, 25.65, 90.00
R14, SMD, 1k, R0805, 1k-r0805, 7.62, 75.95, 180.00
RN1, PTH, 660R, SIL5, 660r-sil5, 0.00, 0.00, 270.00
RN2, PTH, 660R, SIL8, 660r-sil8, 0.00, 0.00, 270.00
S1, PTH, B3F-1052, B3F-10XX, b3f-1052-b3f-10xx, 0.00, 0.00, 90.00
S2, PTH, B3F-1052, B3F-10XX, b3f-1052-b3f-10xx, 0.00, 0.00, 90.00
S3, PTH, B3F-1052, B3F-10XX, b3f-1052-b3f-10xx, 0.00, 0.00, 90.00
S4, PTH, B3F-1052, B3F-10XX, b3f-1052-b3f-10xx, 0.00, 0.00, 90.00
S5, PTH, B3F-1000, B3F-10XX, b3f-1000-b3f-10xx, 0.00, 0.00, 0.00
SV1, PTH, , FE15, -fe15, 0.00, 0.00, 180.00
SV2, PTH, , FE15, -fe15, 0.00, 0.00, 180.00
U$1, PTH, ARDUINODUEMILANOVE, ARDUINO-BIGSHIELD, arduinoduemilanove-arduino-bigshield, 0.00, 0.00, 0.00
U1, SMD, LM393M, SO08, lm393m-so08, 88.39, 73.91, 270.00
U2, SMD, MCP2515-SO, SO-18W, mcp2515-so-so-18w, 43.18, 22.61, 180.00
U3, SMD, MCP2551-SN, SO-08, mcp2551-sn-so-08, 61.21, 25.65, 180.00
U4, SMD, MAX3468CSA, SO08, max3468csa-so08, 29.21, 22.35, 90.00
U5, SMD, MAX3468CSA, SO08, max3468csa-so08, 11.43, 21.59, 90.00
U6, SMD, MAX3468CSA, SO08, max3468csa-so08, 29.21, 32.51, 90.00
U7, SMD, LM317LCDR, SO08, lm317lcdr-so08, 73.66, 47.50, 90.00
U8, SMD, 6N137SD, SM8, 6n137sd-sm8, 5.33, 51.31, 180.00
Y1, PTH, 16Mhz, RESONATOR-PTH, 16mhz-resonator-pth, 0.00, 0.00, 180.00
