# name, smd?, value, package, component, x, y, angle
B1, PTH, DBDB101G, DB, dbdb101g-db, 0.00, 0.00, 90.00
LED11, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 60.96, 52.71, 180.00
LED12, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 54.61, 52.71, 180.00
LED13, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 50.80, 52.71, 180.00
LEDA0, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 46.99, 52.71, 180.00
LEDA1, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 43.18, 52.71, 180.00
LEDA2, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 36.83, 52.71, 180.00
LEDA3, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 33.02, 52.71, 180.00
LEDA4, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 29.21, 52.71, 180.00
LEDA5, SMD, Y-0330050P1, 0603-LED, y-0330050p1-0603-led, 25.40, 52.58, 180.00
LOGO1, PTH, DOC-OSHW-LOGOL, OSHW-LOGO-L, doc-oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
Q1, SMD, 2N3904, SOT23-3, 2n3904-sot23-3, 43.84, 27.10, 180.00
Q4, SMD, MOSFET-P mouser 78-SI2347DS-T1-GE3 30V .042Ohm@10V 5A P-Ch G-III, SOT23, mosfet-p mouser 78-si2347ds-t1-ge3 30v .042ohm@10v 5a p-ch g-iii-sot23, 90.17, 60.96, 180.00
Q5, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 86.36, 60.96, 180.00
Q6, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 82.55, 60.96, 180.00
Q7, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 78.74, 60.96, 180.00
Q8, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 72.39, 60.96, 180.00
Q9, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 68.58, 60.96, 180.00
Q10, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 64.77, 60.96, 180.00
Q11, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 60.96, 60.96, 180.00
Q12, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 54.61, 60.96, 180.00
Q13, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 50.80, 60.96, 180.00
QA0, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 46.99, 60.96, 180.00
QA1, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 43.18, 60.96, 180.00
QA2, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 36.83, 60.96, 180.00
QA3, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 33.02, 60.96, 180.00
QA4, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 29.21, 60.96, 180.00
QA5, SMD, MOSFET-P-044021001, SOT23, mosfet-p-044021001-sot23, 25.40, 60.96, 180.00
R1, SMD, 4k7, 0805-RES, 4k7-0805-res, 45.72, 33.63, 270.00
R2, SMD, 150k, 0805-RES, 150k-0805-res, 38.10, 33.66, 270.00
R3, SMD, 47k, 0805-RES, 47k-0805-res, 48.26, 33.66, 90.00
R4, SMD, 2K2, 0805-RES, 2k2-0805-res, 90.17, 56.52, 90.00
R5, SMD, 2K2, 0805-RES, 2k2-0805-res, 86.36, 56.52, 90.00
R6, SMD, 2K2, 0805-RES, 2k2-0805-res, 82.55, 56.52, 90.00
R7, SMD, 2K2, 0805-RES, 2k2-0805-res, 78.74, 56.52, 90.00
R8, SMD, 2K2, 0805-RES, 2k2-0805-res, 72.39, 56.52, 90.00
R9, SMD, 2K2, 0805-RES, 2k2-0805-res, 68.58, 56.52, 90.00
R10, SMD, 2K2, 0805-RES, 2k2-0805-res, 64.77, 56.52, 90.00
R11, SMD, 2K2, 0805-RES, 2k2-0805-res, 60.96, 56.52, 90.00
R12, SMD, 2K2, 0805-RES, 2k2-0805-res, 54.61, 56.52, 90.00
R13, SMD, 2K2, 0805-RES, 2k2-0805-res, 50.80, 56.52, 90.00
R14, SMD, 39k, 0805-RES, 39k-0805-res, 40.64, 33.66, 270.00
R15, SMD, 27k, 0805-RES, 27k-0805-res, 40.64, 27.28, 90.00
R16, SMD, 240k, 0805-RES, 240k-0805-res, 35.56, 33.66, 270.00
R17, SMD, 1k, 0805-RES, 1k-0805-res, 33.02, 33.66, 270.00
R18, SMD, 470R, 0805-RES, 470r-0805-res, 33.02, 38.73, 90.00
R19, SMD, 47R, 0805-RES, 47r-0805-res, 43.18, 33.66, 90.00
R20, SMD, 82R, 0805-RES, 82r-0805-res, 28.60, 28.17, 0.00
R101, PTH, 1k8, 1/6W-RES, 1k8-1/6w-res, 0.00, 0.00, 270.00
R111, PTH, 1k8, 1/6W-RES, 1k8-1/6w-res, 0.00, 0.00, 270.00
RA0, SMD, 2K2, 0805-RES, 2k2-0805-res, 46.99, 56.52, 90.00
RA1, SMD, 2K2, 0805-RES, 2k2-0805-res, 43.18, 56.52, 90.00
RA2, SMD, 2K2, 0805-RES, 2k2-0805-res, 36.83, 56.52, 90.00
RA3, SMD, 2K2, 0805-RES, 2k2-0805-res, 33.02, 56.52, 90.00
RA4, SMD, 2K2, 0805-RES, 2k2-0805-res, 29.21, 56.52, 90.00
RA5, SMD, 2K2, 0805-RES, 2k2-0805-res, 25.40, 56.52, 90.00
RA6, SMD, 10k, 0805-RES, 10k-0805-res, 34.93, 43.82, 0.00
RA7, SMD, 10k, 0805-RES, 10k-0805-res, 29.85, 43.82, 0.00
S1, SMD, DPDT, AYZ0202, dpdt-ayz0202, 19.69, 20.32, 270.00
U$1, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
U$2, PTH, ARDUINO-PRO-MINIDAVESROBOT, ARDUINO_PRO_MINI_DAVEK, arduino-pro-minidavesrobot-arduino_pro_mini_davek, 0.00, 0.00, 180.00
U$3, PTH, 9-12vDC, POWER_USAGE, 9-12vdc-power_usage, 0.00, 0.00, 90.00
U$4, PTH, BOARD80X100, BOARD-DINRAIL-3.17IN, board80x100-board-dinrail-3.17in, 0.00, 0.00, 0.00
U1, SMD, LM393M, SO08@1, lm393m-so08@1, 33.50, 23.47, 0.00
U2, SMD, LM317, SO08, lm317-so08, 27.15, 33.63, 0.00
