# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD, PTH, BOARD80X150, BOARD-DINRAIL-3.17IN-IOB, board80x150-board-dinrail-3.17in-iob, 0.00, 0.00, 0.00, 0.00
Q6, SMD, BSS138, SOT23, bss138-sot23, 46.23, 49.53, 0.00, 0.00
Q7, SMD, BSS138, SOT23, bss138-sot23, 50.55, 49.53, 0.00, 0.00
Q8, SMD, BSS138, SOT23, bss138-sot23, 54.86, 49.53, 0.00, 0.00
Q9, SMD, BSS138, SOT23, bss138-sot23, 59.69, 49.53, 0.00, 0.00
Q10, SMD, BSS138, SOT23, bss138-sot23, 64.52, 49.53, 0.00, 0.00
Q11, SMD, BSS138, SOT23, bss138-sot23, 68.83, 49.53, 0.00, 0.00
Q12, SMD, BSS138, SOT23, bss138-sot23, 73.91, 49.53, 0.00, 0.00
Q13, SMD, BSS138, SOT23, bss138-sot23, 78.99, 49.53, 0.00, 0.00
Q14, SMD, BSS138, SOT23, bss138-sot23, 89.15, 49.53, 0.00, 0.00
Q15, SMD, BSS138, SOT23, bss138-sot23, 15.24, 29.21, 90.00, -90.00
Q16, SMD, BSS138, SOT23, bss138-sot23, 15.24, 24.13, 90.00, -90.00
Q17, SMD, BSS138, SOT23, bss138-sot23, 15.24, 34.29, 90.00, -90.00
R1, SMD, 10k, 0603-RES, 10k-0603-res, 20.32, 29.21, 270.00, 90.00
R2, SMD, 10k, 0603-RES, 10k-0603-res, 36.58, 45.72, 180.00, -180.00
R3, SMD, 10k, 0603-RES, 10k-0603-res, 41.15, 45.72, 180.00, -180.00
R4, SMD, 10k, 0603-RES, 10k-0603-res, 27.94, 45.72, 180.00, -180.00
R5, SMD, 10k, 0603-RES, 10k-0603-res, 32.26, 45.72, 180.00, -180.00
R6, SMD, 10k, 0603-RES, 10k-0603-res, 46.23, 45.72, 180.00, -180.00
R7, SMD, 10k, 0603-RES, 10k-0603-res, 50.55, 45.72, 180.00, -180.00
R8, SMD, 10k, 0603-RES, 10k-0603-res, 54.86, 45.72, 180.00, -180.00
R9, SMD, 10k, 0603-RES, 10k-0603-res, 59.69, 45.72, 180.00, -180.00
R10, SMD, 10k, 0603-RES, 10k-0603-res, 64.52, 45.72, 180.00, -180.00
R11, SMD, 10k, 0603-RES, 10k-0603-res, 68.83, 45.72, 180.00, -180.00
R12, SMD, 10k, 0603-RES, 10k-0603-res, 73.91, 45.72, 180.00, -180.00
R13, SMD, 10k, 0603-RES, 10k-0603-res, 78.99, 45.72, 180.00, -180.00
R14, SMD, 10k, 0603-RES, 10k-0603-res, 84.07, 45.72, 180.00, -180.00
R15, SMD, 10k, 0603-RES, 10k-0603-res, 35.56, 53.34, 180.00, -180.00
R16, SMD, 10k, 0603-RES, 10k-0603-res, 40.13, 53.21, 180.00, -180.00
R17, SMD, 10k, 0603-RES, 10k-0603-res, 27.05, 53.34, 180.00, -180.00
R18, SMD, 10k, 0603-RES, 10k-0603-res, 31.37, 53.34, 180.00, -180.00
R19, SMD, 10k, 0603-RES, 10k-0603-res, 45.09, 53.34, 180.00, -180.00
R20, SMD, 10k, 0603-RES, 10k-0603-res, 49.53, 53.34, 180.00, -180.00
R21, SMD, 10k, 0603-RES, 10k-0603-res, 53.85, 53.34, 180.00, -180.00
R22, SMD, 10k, 0603-RES, 10k-0603-res, 58.42, 53.34, 180.00, -180.00
R23, SMD, 10k, 0603-RES, 10k-0603-res, 63.63, 53.34, 180.00, -180.00
R24, SMD, 10k, 0603-RES, 10k-0603-res, 67.95, 53.34, 180.00, -180.00
R25, SMD, 10k, 0603-RES, 10k-0603-res, 72.90, 53.34, 180.00, -180.00
R26, SMD, 10k, 0603-RES, 10k-0603-res, 77.72, 53.34, 180.00, -180.00
R27, SMD, 10k, 0603-RES, 10k-0603-res, 82.93, 53.34, 180.00, -180.00
R28, SMD, 10k, 0603-RES, 10k-0603-res, 89.15, 45.72, 180.00, -180.00
R29, SMD, 10k, 0603-RES, 10k-0603-res, 88.01, 53.34, 180.00, -180.00
R30, SMD, 10k, 0603-RES, 10k-0603-res, 11.43, 29.85, 270.00, 90.00
R31, SMD, 10k, 0603-RES, 10k-0603-res, 20.32, 24.13, 270.00, 90.00
R32, SMD, 10k, 0603-RES, 10k-0603-res, 11.43, 24.13, 90.00, -90.00
R33, SMD, 10k, 0603-RES, 10k-0603-res, 20.32, 34.29, 270.00, 90.00
R34, SMD, 10k, 0603-RES, 10k-0603-res, 11.43, 34.29, 90.00, -90.00
R35, SMD, 2k2, 0603-RES, 2k2-0603-res, 20.32, 86.36, 270.00, 90.00
U$1, PTH, ESP32/DEV, ESP32-DEV, esp32/dev-esp32-dev, 0.00, 0.00, 270.00, 90.00
VR5.0, SMD, 78M05B, TO-252, 78m05b-to-252, 10.16, 74.40, 0.00, 0.00
