# name, smd?, value, package, component, x, y, angle
C1X11, SMD, , 0603-CAP, -0603-cap, 22.23, 50.80, 90.00
Q1X11, SMD, , SOT23, -sot23, 21.59, 32.38, 180.00
Q1X21, SMD, , SOT23, -sot23, 41.91, 32.38, 180.00
Q1X31, SMD, , SOT23, -sot23, 62.23, 32.38, 180.00
Q1X41, SMD, , SOT23, -sot23, 82.55, 32.38, 180.00
Q2X11, SMD, , SOT23, -sot23, 17.78, 32.38, 180.00
Q2X21, SMD, , SOT23, -sot23, 38.10, 32.38, 180.00
Q2X31, SMD, , SOT23, -sot23, 58.42, 32.38, 180.00
Q2X41, SMD, , SOT23, -sot23, 78.74, 32.38, 180.00
Q3X11, SMD, , SOT23, -sot23, 13.97, 32.38, 180.00
Q3X21, SMD, , SOT23, -sot23, 34.29, 32.38, 180.00
Q3X31, SMD, , SOT23, -sot23, 54.61, 32.38, 180.00
Q3X41, SMD, , SOT23, -sot23, 74.93, 32.38, 180.00
R1X11, SMD, , 0805-RES, -0805-res, 23.50, 29.85, 90.00
R1X21, SMD, , 0805-RES, -0805-res, 43.82, 29.85, 90.00
R1X31, SMD, , 0805-RES, -0805-res, 64.14, 29.85, 90.00
R1X41, SMD, , 0805-RES, -0805-res, 84.45, 29.85, 90.00
R2X11, SMD, , 0805-RES, -0805-res, 19.69, 29.85, 90.00
R2X21, SMD, , 0805-RES, -0805-res, 40.01, 29.85, 90.00
R2X31, SMD, , 0805-RES, -0805-res, 60.33, 29.85, 90.00
R2X41, SMD, , 0805-RES, -0805-res, 80.65, 29.85, 90.00
R3X11, SMD, , 0805-RES, -0805-res, 15.88, 29.85, 90.00
R3X21, SMD, , 0805-RES, -0805-res, 36.20, 29.85, 90.00
R3X31, SMD, , 0805-RES, -0805-res, 56.52, 29.85, 90.00
R3X41, SMD, , 0805-RES, -0805-res, 76.84, 29.85, 90.00
R4X11, SMD, , 0805-RES, -0805-res, 12.07, 29.85, 90.00
R4X21, SMD, , 0805-RES, -0805-res, 32.38, 29.85, 90.00
R4X31, SMD, , 0805-RES, -0805-res, 52.71, 29.85, 90.00
R4X41, SMD, , 0805-RES, -0805-res, 73.03, 29.85, 90.00
R5X11, SMD, , 0805-RES, -0805-res, 23.24, 42.67, 90.00
R5X21, SMD, , 0805-RES, -0805-res, 43.56, 42.67, 90.00
R5X31, SMD, , 0805-RES, -0805-res, 63.88, 42.67, 90.00
R5X41, SMD, , 0805-RES, -0805-res, 84.20, 42.67, 90.00
R6X11, SMD, , 0805-RES, -0805-res, 20.07, 42.67, 90.00
R6X21, SMD, , 0805-RES, -0805-res, 40.39, 42.67, 90.00
R6X31, SMD, , 0805-RES, -0805-res, 60.71, 42.67, 90.00
R6X41, SMD, , 0805-RES, -0805-res, 81.03, 42.67, 90.00
R8X11, SMD, , 0805-RES, -0805-res, 13.72, 42.67, 90.00
R8X21, SMD, , 0805-RES, -0805-res, 34.04, 42.67, 90.00
R8X31, SMD, , 0805-RES, -0805-res, 54.36, 42.67, 90.00
R8X41, SMD, , 0805-RES, -0805-res, 74.68, 42.67, 90.00
R9X11, SMD, , 0805-RES, -0805-res, 20.32, 57.15, 90.00
R9X21, SMD, , 0805-RES, -0805-res, 40.64, 57.15, 90.00
R9X31, SMD, , 0805-RES, -0805-res, 60.96, 57.15, 90.00
R9X41, SMD, , 0805-RES, -0805-res, 81.28, 57.15, 90.00
R10X11, SMD, , 0805-RES, -0805-res, 17.78, 57.15, 90.00
R10X21, SMD, , 0805-RES, -0805-res, 38.10, 57.15, 90.00
R10X31, SMD, , 0805-RES, -0805-res, 58.42, 57.15, 90.00
R10X41, SMD, , 0805-RES, -0805-res, 78.74, 57.15, 90.00
R11X11, SMD, , 0805-RES, -0805-res, 15.24, 57.15, 90.00
R11X21, SMD, , 0805-RES, -0805-res, 35.56, 57.15, 90.00
R11X31, SMD, , 0805-RES, -0805-res, 55.88, 57.15, 90.00
R11X41, SMD, , 0805-RES, -0805-res, 76.20, 57.15, 90.00
R12X11, SMD, , 0805-RES, -0805-res, 12.70, 57.15, 90.00
R12X21, SMD, , 0805-RES, -0805-res, 33.02, 57.15, 90.00
R12X31, SMD, , 0805-RES, -0805-res, 53.34, 57.15, 90.00
R12X41, SMD, , 0805-RES, -0805-res, 73.66, 57.15, 90.00
VINX1, PTH, , BOARD-DINRAIL-3.17IN-4X-IOB, -board-dinrail-3.17in-4x-iob, 0.00, 0.00, 0.00
VINX11, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
VINX21, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
VINX31, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
VINX41, PTH, , 1X03, -1x03, 0.00, 0.00, 0.00
