# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
CARRIER,PTH,BOARD,BOARD-DINRAIL-3.17IN-5X2-IOP,board-board-dinrail-3.17in-5x2-iop,0.00,0.00,0.00,0.00
Q6X52,SMD,N-FET,SOT23-3,n-fet-sot23-3,90.30,72.98,90.00,-90.00
Q7X11,SMD,N-FET,SOT23-3,n-fet-sot23-3,15.37,34.88,90.00,-90.00
Q7X12,SMD,N-FET,SOT23-3,n-fet-sot23-3,15.37,72.98,90.00,-90.00
Q7X21,SMD,N-FET,SOT23-3,n-fet-sot23-3,33.15,34.88,90.00,-90.00
Q7X22,SMD,N-FET,SOT23-3,n-fet-sot23-3,33.15,72.98,90.00,-90.00
Q7X31,SMD,N-FET,SOT23-3,n-fet-sot23-3,50.93,34.88,90.00,-90.00
Q7X32,SMD,N-FET,SOT23-3,n-fet-sot23-3,50.93,72.98,90.00,-90.00
Q7X41,SMD,N-FET,SOT23-3,n-fet-sot23-3,68.71,34.88,90.00,-90.00
Q7X42,SMD,N-FET,SOT23-3,n-fet-sot23-3,68.71,72.98,90.00,-90.00
Q7X51,SMD,N-FET,SOT23-3,n-fet-sot23-3,86.49,34.88,90.00,-90.00
Q7X52,SMD,N-FET,SOT23-3,n-fet-sot23-3,86.49,72.98,90.00,-90.00
Q8X11,SMD,N-FET,SOT23-3,n-fet-sot23-3,22.99,34.88,90.00,-90.00
Q8X12,SMD,N-FET,SOT23-3,n-fet-sot23-3,22.99,72.98,90.00,-90.00
Q8X21,SMD,N-FET,SOT23-3,n-fet-sot23-3,40.77,34.88,90.00,-90.00
Q8X22,SMD,N-FET,SOT23-3,n-fet-sot23-3,40.77,72.98,90.00,-90.00
Q8X31,SMD,N-FET,SOT23-3,n-fet-sot23-3,58.55,34.88,90.00,-90.00
Q8X32,SMD,N-FET,SOT23-3,n-fet-sot23-3,58.55,72.98,90.00,-90.00
Q8X41,SMD,N-FET,SOT23-3,n-fet-sot23-3,76.33,34.88,90.00,-90.00
Q8X42,SMD,N-FET,SOT23-3,n-fet-sot23-3,76.33,72.98,90.00,-90.00
Q8X51,SMD,N-FET,SOT23-3,n-fet-sot23-3,94.11,34.88,90.00,-90.00
Q8X52,SMD,N-FET,SOT23-3,n-fet-sot23-3,94.11,72.98,90.00,-90.00
R1X11,SMD,10k,0603-RES,10k-0603-res,11.18,30.35,90.00,-90.00
R1X12,SMD,10k,0603-RES,10k-0603-res,11.18,68.45,90.00,-90.00
R1X21,SMD,10k,0603-RES,10k-0603-res,28.96,30.35,90.00,-90.00
R1X22,SMD,10k,0603-RES,10k-0603-res,28.96,68.45,90.00,-90.00
R1X31,SMD,10k,0603-RES,10k-0603-res,46.74,30.35,90.00,-90.00
R1X32,SMD,10k,0603-RES,10k-0603-res,46.74,68.45,90.00,-90.00
R1X41,SMD,10k,0603-RES,10k-0603-res,64.52,30.35,90.00,-90.00
R1X42,SMD,10k,0603-RES,10k-0603-res,64.52,68.45,90.00,-90.00
R1X51,SMD,10k,0603-RES,10k-0603-res,82.30,30.35,90.00,-90.00
R1X52,SMD,10k,0603-RES,10k-0603-res,82.30,68.45,90.00,-90.00
R2X11,SMD,10k,0603-RES,10k-0603-res,14.99,30.35,90.00,-90.00
R2X12,SMD,10k,0603-RES,10k-0603-res,14.99,68.45,90.00,-90.00
R2X21,SMD,10k,0603-RES,10k-0603-res,32.77,30.35,90.00,-90.00
R2X22,SMD,10k,0603-RES,10k-0603-res,32.77,68.45,90.00,-90.00
R2X31,SMD,10k,0603-RES,10k-0603-res,50.55,30.35,90.00,-90.00
R2X32,SMD,10k,0603-RES,10k-0603-res,50.55,68.45,90.00,-90.00
R2X41,SMD,10k,0603-RES,10k-0603-res,68.33,30.35,90.00,-90.00
R2X42,SMD,10k,0603-RES,10k-0603-res,68.33,68.45,90.00,-90.00
R2X51,SMD,10k,0603-RES,10k-0603-res,86.11,30.35,90.00,-90.00
R2X52,SMD,10k,0603-RES,10k-0603-res,86.11,68.45,90.00,-90.00
R3X11,SMD,10k,0603-RES,10k-0603-res,18.80,30.35,90.00,-90.00
R3X12,SMD,10k,0603-RES,10k-0603-res,18.80,68.45,90.00,-90.00
R3X21,SMD,10k,0603-RES,10k-0603-res,36.58,30.35,90.00,-90.00
R3X22,SMD,10k,0603-RES,10k-0603-res,36.58,68.45,90.00,-90.00
R3X31,SMD,10k,0603-RES,10k-0603-res,54.36,30.35,90.00,-90.00
R3X32,SMD,10k,0603-RES,10k-0603-res,54.36,68.45,90.00,-90.00
R3X41,SMD,10k,0603-RES,10k-0603-res,72.14,30.35,90.00,-90.00
R3X42,SMD,10k,0603-RES,10k-0603-res,72.14,68.45,90.00,-90.00
R3X51,SMD,10k,0603-RES,10k-0603-res,89.92,30.35,90.00,-90.00
R3X52,SMD,10k,0603-RES,10k-0603-res,89.92,68.45,90.00,-90.00
R4X11,SMD,10k,0603-RES,10k-0603-res,22.61,30.35,90.00,-90.00
R4X12,SMD,10k,0603-RES,10k-0603-res,22.61,68.45,90.00,-90.00
R4X21,SMD,10k,0603-RES,10k-0603-res,40.39,30.35,90.00,-90.00
R4X22,SMD,10k,0603-RES,10k-0603-res,40.39,68.45,90.00,-90.00
R4X31,SMD,10k,0603-RES,10k-0603-res,58.17,30.35,90.00,-90.00
R4X32,SMD,10k,0603-RES,10k-0603-res,58.17,68.45,90.00,-90.00
R4X41,SMD,10k,0603-RES,10k-0603-res,75.95,30.35,90.00,-90.00
R4X42,SMD,10k,0603-RES,10k-0603-res,75.95,68.45,90.00,-90.00
R4X51,SMD,10k,0603-RES,10k-0603-res,93.73,30.35,90.00,-90.00
R4X52,SMD,10k,0603-RES,10k-0603-res,93.73,68.45,90.00,-90.00
